Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.019673866	293.200022	293.200022	293.200022	293.200022	0	0	0	0.408936	0	0	3
2	3	0	0.0393477321	293.200024	293.200023	293.200022	293.200024	9.11604616e-007	0	0	0.406415	0	0	3
3	3	0	0.0590215981	293.200026	293.200024	293.200022	293.200026	1.73985887e-006	0	0	0.400567	0	0	3
4	4	0	0.0786954642	293.200027	293.200025	293.200022	293.200027	2.52923667e-006	0	0	0.394036	0	0	3
5	5	0	0.0983693302	293.200029	293.200026	293.200022	293.200029	3.28726742e-006	0	0	0.387971	0	0	3
6	5	0	0.118043196	293.200031	293.200026	293.200022	293.200031	4.13670335e-006	0	0	0.379631	0	0	3
7	6	0	0.137717062	293.200033	293.200027	293.200022	293.200033	5.01716903e-006	0	0	0.372488	0	0	3
8	7	0	0.157390928	293.200034	293.200028	293.200022	293.200034	5.90691673e-006	0	0	0.367285	0	0	3
9	7	0	0.177064794	293.200036	293.200029	293.200022	293.200036	6.79137298e-006	0	0	0.363886	0	0	3
10	8	0	0.19673866	293.200038	293.20003	293.200022	293.200038	7.66088658e-006	0	0	0.363695	0	0	3
11	9	0	0.216412526	293.20004	293.200031	293.200022	293.20004	8.58914393e-006	0	0	0.363134	0	0	3
12	10	0	0.236086393	293.200042	293.200032	293.200022	293.200042	9.54264414e-006	0	0	0.364519	0	0	3
13	11	0	0.255760259	293.200044	293.200033	293.200022	293.200044	1.04997515e-005	0	0	0.367	0	0	3
14	12	0	0.275434125	293.200046	293.200034	293.200022	293.200046	1.14416587e-005	0	0	0.36966	0	0	3
15	13	0	0.295107991	293.200047	293.200035	293.200022	293.200047	1.23508495e-005	0	0	0.370485	0	0	3
16	14	0	0.314781857	293.200049	293.200036	293.200022	293.200049	1.32689925e-005	0	0	0.376271	0	0	3
17	14	0	0.334455723	293.200051	293.200036	293.200022	293.200051	1.41708731e-005	0	0	0.380116	0	0	3
18	15	0	0.354129589	293.200052	293.200037	293.200022	293.200052	1.50424718e-005	0	0	0.377692	0	0	3
19	16	0	0.373803455	293.200053	293.200038	293.200022	293.200053	1.58852999e-005	0	0	0.368969	0	0	3
20	16	0	0.393477321	293.200055	293.200039	293.200022	293.200055	1.67141359e-005	0	0	0.362267	0	0	3
21	17	0	0.413151187	293.200059	293.20004	293.200022	293.200059	1.76714806e-005	0	0	0.353122	0	0	3
22	18	0	0.432825053	293.200067	293.200041	293.200022	293.200067	1.88891158e-005	0	0	0.342069	0	0	3
23	18	0	0.452498919	293.200079	293.200043	293.200022	293.200079	2.05446402e-005	0	0	0.322633	0	0	3
24	19	0	0.472172785	293.200098	293.200045	293.200022	293.200098	2.28604932e-005	0	0	0.297194	0	0	3
25	20	0	0.491846651	293.200126	293.200048	293.200022	293.200126	2.60957776e-005	0	0	0.275353	0	0	3
26	20	0	0.511520517	293.200194	293.200054	293.200022	293.200194	3.17128013e-005	0	0	0.266504	0	0	3
27	21	0	0.531194383	293.200288	293.200064	293.200024	293.200288	4.10257906e-005	0	0	0.264852	0	0	3
28	22	0	0.550868249	293.200404	293.200079	293.200026	293.200404	5.4791453e-005	0	0	0.258509	0	0	3
29	22	0	0.570542115	293.200535	293.200098	293.200027	293.200535	7.35905855e-005	0	0	0.251309	0	0	3
30	23	0	0.590215981	293.200678	293.200123	293.200029	293.200678	9.78702019e-005	0	0	0.243581	0	0	3
31	24	0	0.609889847	293.200908	293.200157	293.200031	293.200908	0.000130828795	0	0	0.234601	0	0	3
32	24	0	0.629563713	293.201126	293.200199	293.200033	293.201126	0.000172078832	0	0	0.235486	0	0	3
33	25	0	0.649237579	293.201319	293.200249	293.200034	293.201319	0.000220671759	0	0	0.236238	0	0	3
34	26	0	0.668911446	293.201487	293.200305	293.200036	293.201487	0.000275640314	0	0	0.239251	0	0	3
35	26	0	0.688585312	293.201633	293.200366	293.200038	293.201633	0.000336198408	0	0	0.235539	0	0	3
36	27	0	0.708259178	293.201818	293.200435	293.20004	293.201818	0.000403746489	0	0	0.232737	0	0	3
37	28	0	0.727933044	293.201939	293.200508	293.200042	293.201939	0.000475824451	0	0	0.224836	0	0	3
38	29	0	0.74760691	293.201968	293.200582	293.200044	293.201968	0.000548944529	0	0	0.223452	0	0	3
39	29	0	0.767280776	293.201875	293.200652	293.200046	293.201968	0.000618397398	0	0	0.221579	0	0	3
