Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
40	30	0	0.786954642	293.201705	293.200716	293.200047	293.201968	0.000681301511	0	0	0.217459	0	0	3
41	31	0	0.806628508	293.201507	293.200772	293.200049	293.201968	0.000736521898	0	0	0.213787	0	0	3
42	31	0	0.826302374	293.201397	293.200824	293.200051	293.201968	0.000787452292	0	0	0.210982	0	0	3
43	32	0	0.84597624	293.201329	293.200873	293.200052	293.201968	0.000835729585	0	0	0.20853	0	0	3
44	33	0	0.865650106	293.201283	293.20092	293.200053	293.201968	0.000882228527	0	0	0.206259	0	0	3
45	33	0	0.885323972	293.201249	293.200966	293.200055	293.201968	0.000927406273	0	0	0.204314	0	0	3
46	34	0	0.904997838	293.201232	293.201012	293.200059	293.201968	0.000971716243	0	0	0.203781	0	0	3
47	35	0	0.924671704	293.201224	293.201056	293.200067	293.201968	0.00101531989	0	0	0.202982	0	0	3
48	35	0	0.94434557	293.201218	293.201101	293.200079	293.201968	0.00105796183	0	0	0.202416	0	0	3
49	36	0	0.964019436	293.201212	293.201144	293.200098	293.201968	0.00109922472	0	0	0.202282	0	0	3
50	37	0	0.983693302	293.201204	293.201187	293.200126	293.201968	0.00113851894	0	0	0.201879	0	0	3
51	37	0	1.00336717	293.201186	293.201228	293.200194	293.201968	0.00117365479	5.82792481e-005	4.9	0.20152	0	0	3
52	38	0	1.02304103	293.20117	293.201265	293.200288	293.201968	0.00120096167	5.82792481e-005	4.8	0.201562	0	0	3
53	39	0	1.0427149	293.201167	293.201299	293.200404	293.201968	0.0012201772	5.82792481e-005	4.7	0.201256	0	0	3
54	39	0	1.06238877	293.201168	293.201328	293.200535	293.201968	0.00122999447	5.82792481e-005	4.7	0.201042	0	0	3
55	40	0	1.08206263	293.201167	293.201353	293.200678	293.201968	0.00122926304	5.82792481e-005	4.7	0.201129	0	0	3
56	41	0	1.1017365	293.201168	293.201372	293.200908	293.201968	0.00106070984	5.82792481e-005	5.4	0.200965	0	0	3
57	41	0	1.12141036	293.201165	293.201381	293.201126	293.201968	0.000842260996	5.82792481e-005	6.9	0.201092	0	0	3
58	42	0	1.14108423	293.201168	293.201383	293.201165	293.201968	0.000802956752	5.82792481e-005	7.2	0.200948	0	0	3
59	43	0	1.1607581	293.201174	293.201377	293.201165	293.201968	0.000802956752	5.82792481e-005	7.2	0.201081	0	0	3
60	43	0	1.18043196	293.201184	293.201366	293.201165	293.201968	0.000802956752	5.82792481e-005	7.2	0.200966	0	0	3
61	44	0	1.20010583	293.201188	293.201349	293.201165	293.201968	0.000802956752	5.82792481e-005	7.2	0.201077	0	0	3
62	45	0	1.21977969	293.201196	293.201325	293.201165	293.201968	0.000802956752	5.82792481e-005	7.2	0.201078	0	0	3
63	45	0	1.23945356	293.201202	293.201296	293.201165	293.201968	0.000801320909	5.82792481e-005	7.2	0.201173	0	0	3
64	46	0	1.25912743	293.201203	293.201267	293.201165	293.201875	0.000709167998	5.82792481e-005	8.2	0.20116	0	0	3
65	47	0	1.27880129	293.201195	293.201241	293.201165	293.201705	0.000539751145	5.82792481e-005	10.7	0.201247	0	0	3
66	48	0	1.29847516	293.20119	293.201221	293.201165	293.201507	0.000341600084	5.82792481e-005	17	0.201279	0	0	3
67	48	0	1.31814903	293.201191	293.201209	293.201165	293.201397	0.00023159906	5.82792481e-005	25.1	0.201432	0	0	3
68	49	0	1.33782289	293.2012	293.201201	293.201165	293.201329	0.000163390912	5.82792481e-005	35.6	0.20146	0	0	3
69	50	0	1.35749676	293.20121	293.201197	293.201165	293.201283	0.000117664472	5.82792481e-005	49.5	0.201589	0	0	3
70	50	0	1.37717062	293.201222	293.201194	293.201165	293.201249	8.41461002e-005	5.82792481e-005	69.2	0.201615	0	0	3
71	51	0	1.39684449	293.201228	293.201194	293.201165	293.201232	6.63309958e-005	5.82792481e-005	87.8	0.201784	0	0	3
72	52	0	1.41651836	293.201227	293.201193	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.201817	0	0	3
73	53	0	1.43619222	293.201216	293.201193	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.201951	0	0	3
74	53	0	1.45586609	293.201208	293.201193	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.201975	0	0	3
75	54	0	1.47553995	293.201206	293.201192	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202103	0	0	3
76	55	0	1.49521382	293.201211	293.201193	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202084	0	0	3
77	55	0	1.51488769	293.201216	293.201194	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202185	0	0	3
78	56	0	1.53456155	293.201223	293.201196	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202144	0	0	3
79	57	0	1.55423542	293.201227	293.201198	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202272	0	0	3
80	57	0	1.57390928	293.201227	293.2012	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.20223	0	0	3
81	58	0	1.59358315	293.201219	293.201202	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.20233	0	0	3
82	59	0	1.61325702	293.201212	293.201204	293.201165	293.201228	6.28227538e-005	5.82792481e-005	92.7	0.202286	0	0	3
83	59	0	1.63293088	293.201206	293.201206	293.201168	293.201228	6.04260046e-005	5.82792481e-005	96.4	0.20241	0	0	3
84	60	0	1.65260475	293.201207	293.201207	293.201174	293.201228	5.41283378e-005	5.82792481e-005	100	0.202371	0	0	3
