Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.019673866	101325.122	101325.122	101325.122	101325.122	0	0	0	292.628	0	0	3
2	3	0	0.0393477321	101325.087	101325.105	101325.087	101325.122	0.017701901	0	0	551.425	0	0	3
3	3	0	0.0590215981	101325.085	101325.098	101325.085	101325.122	0.0242135181	0	0	533.4	0	0	3
4	4	0	0.0786954642	101325.084	101325.095	101325.084	101325.122	0.0277751002	0	0	534.126	0	0	3
5	5	0	0.0983693302	101325.082	101325.092	101325.082	101325.122	0.030224989	0	0	548.424	0	0	3
6	5	0	0.118043196	101325.081	101325.09	101325.081	101325.122	0.0321286724	0	0	561.652	0	0	3
7	6	0	0.137717062	101325.079	101325.089	101325.079	101325.122	0.0337352585	0	0	578.845	0	0	3
8	7	0	0.157390928	101325.077	101325.087	101325.077	101325.122	0.0351790303	0	0	605.386	0	0	3
9	7	0	0.177064794	101325.075	101325.086	101325.075	101325.122	0.0365305653	0	0	613.705	0	0	3
10	8	0	0.19673866	101325.073	101325.085	101325.073	101325.122	0.0378387289	0	0	624.237	0	0	3
11	9	0	0.216412526	101325.071	101325.083	101325.071	101325.122	0.0390836893	0	0	624.191	0	0	3
12	10	0	0.236086393	101325.069	101325.082	101325.069	101325.122	0.0403094688	0	0	625.214	0	0	3
13	11	0	0.255760259	101325.067	101325.081	101325.067	101325.122	0.0415031569	0	0	627.109	0	0	3
14	12	0	0.275434125	101325.064	101325.08	101325.064	101325.122	0.0426823768	0	0	633.772	0	0	3
15	13	0	0.295107991	101325.062	101325.079	101325.062	101325.122	0.0438454167	0	0	635.503	0	0	3
16	14	0	0.314781857	101325.06	101325.077	101325.06	101325.122	0.0450358913	0	0	634.015	0	0	3
17	14	0	0.334455723	101325.056	101325.076	101325.056	101325.122	0.0462894938	0	0	631.862	0	0	3
18	15	0	0.354129589	101325.053	101325.075	101325.053	101325.122	0.0475755707	0	0	630.483	0	0	3
19	16	0	0.373803455	101325.049	101325.074	101325.049	101325.122	0.0489143182	0	0	627.597	0	0	3
20	16	0	0.393477321	101325.046	101325.072	101325.046	101325.122	0.050285537	0	0	625.553	0	0	3
21	17	0	0.413151187	101325.042	101325.071	101325.042	101325.122	0.0517401979	0	0	622.033	0	0	3
