Iteration	CPUTime	PhysTime	Travels	CourFact
1	2	0	0.019673866	0
2	3	0	0.0393477321	0
3	3	0	0.0590215981	0
4	4	0	0.0786954642	0
5	5	0	0.0983693302	0
6	5	0	0.118043196	0
7	6	0	0.137717062	0
8	7	0	0.157390928	0
9	7	0	0.177064794	0
10	8	0	0.19673866	0
11	9	0	0.216412526	0
12	10	0	0.236086393	0
13	11	0	0.255760259	0
14	12	0	0.275434125	0
15	13	0	0.295107991	0
16	14	0	0.314781857	0
17	14	0	0.334455723	0
18	15	0	0.354129589	0
19	16	0	0.373803455	0
20	16	0	0.393477321	0
21	17	0	0.413151187	0
22	18	0	0.432825053	0
23	18	0	0.452498919	0
24	19	0	0.472172785	0
25	20	0	0.491846651	0
26	20	0	0.511520517	0
27	21	0	0.531194383	0
28	22	0	0.550868249	0
29	22	0	0.570542115	0
30	23	0	0.590215981	0
31	24	0	0.609889847	0
32	24	0	0.629563713	0
33	25	0	0.649237579	0
34	26	0	0.668911446	0
35	26	0	0.688585312	0
36	27	0	0.708259178	0
37	28	0	0.727933044	0
38	29	0	0.74760691	0
39	29	0	0.767280776	0
40	30	0	0.786954642	0
41	31	0	0.806628508	0
42	31	0	0.826302374	0
43	32	0	0.84597624	0
44	33	0	0.865650106	0
45	33	0	0.885323972	0
46	34	0	0.904997838	0
47	35	0	0.924671704	0
48	35	0	0.94434557	0
49	36	0	0.964019436	0
50	37	0	0.983693302	0
51	37	0	1.00336717	0
52	38	0	1.02304103	0
53	39	0	1.0427149	0
54	39	0	1.06238877	0
55	40	0	1.08206263	0
56	41	0	1.1017365	0
57	41	0	1.12141036	0
58	42	0	1.14108423	0
59	43	0	1.1607581	0
60	43	0	1.18043196	0
61	44	0	1.20010583	0
62	45	0	1.21977969	0
63	45	0	1.23945356	0
64	46	0	1.25912743	0
65	47	0	1.27880129	0
66	48	0	1.29847516	0
67	48	0	1.31814903	0
68	49	0	1.33782289	0
69	50	0	1.35749676	0
70	50	0	1.37717062	0
71	51	0	1.39684449	0
72	52	0	1.41651836	0
73	53	0	1.43619222	0
74	53	0	1.45586609	0
75	54	0	1.47553995	0
76	55	0	1.49521382	0
77	55	0	1.51488769	0
78	56	0	1.53456155	0
79	57	0	1.55423542	0
80	57	0	1.57390928	0
81	58	0	1.59358315	0
82	59	0	1.61325702	0
83	59	0	1.63293088	0
84	60	0	1.65260475	0
