Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
46	34	0	0.904997838	0.00132649257	0.00123665659	0.00106108841	0.00132649257	0.000265404155	0	0	0	0	0	3
47	35	0	0.924671704	0.00132778917	0.00124691431	0.00108377447	0.00132778917	0.000244014697	0	0	0	0	0	3
48	35	0	0.94434557	0.00132840039	0.001256323	0.0011039463	0.00132840039	0.000224454093	0	0	0	0	0	3
49	36	0	0.964019436	0.00132918321	0.00126498596	0.00112164572	0.00132918321	0.000207537493	0	0	0	0	0	3
50	37	0	0.983693302	0.00132900529	0.00127296132	0.0011377871	0.00132918321	0.000191396108	0	0	0	0	0	3
51	37	0	1.00336717	0.00132973461	0.00128034392	0.00115252152	0.00132973461	0.000177213089	2.04589612e-005	11.5	0	0	0	3
52	38	0	1.02304103	0.00132952849	0.00128715188	0.00117206329	0.00132973461	0.000157671318	2.04589612e-005	12.9	0	0	0	3
53	39	0	1.0427149	0.00132992898	0.00129322364	0.00118937396	0.00132992898	0.000140555019	2.04618767e-005	14.5	0	0	0	3
54	39	0	1.06238877	0.00132985488	0.00129862675	0.0012045928	0.00132992898	0.000125336183	2.04589612e-005	16.3	0	0	0	3
55	40	0	1.08206263	0.00132990821	0.00130344657	0.00121846547	0.00132992898	0.000111463513	2.04589612e-005	18.3	0	0	0	3
56	41	0	1.1017365	0.00132945018	0.00130771522	0.00123052187	0.00132992898	9.94071134e-005	2.04589612e-005	20.5	0	0	0	3
57	41	0	1.12141036	0.00132968871	0.00131152933	0.0012458024	0.00132992898	8.41265793e-005	2.04589612e-005	24.3	0	0	0	3
58	42	0	1.14108423	0.00132915113	0.00131473505	0.00125829119	0.00132992898	7.16377883e-005	2.04589612e-005	28.5	0	0	0	3
59	43	0	1.1607581	0.00132959594	0.00131747754	0.00126909036	0.00132992898	6.08386238e-005	2.04589612e-005	33.6	0	0	0	3
60	43	0	1.18043196	0.00132925155	0.00131979143	0.00127778226	0.00132992898	5.21467218e-005	2.04589612e-005	39.2	0	0	0	3
61	44	0	1.20010583	0.00132916337	0.00132176762	0.00128540625	0.00132992898	4.45227242e-005	2.04589612e-005	45.9	0	0	0	3
62	45	0	1.21977969	0.00132848444	0.00132342448	0.0012938354	0.00132992898	3.60935838e-005	2.04589612e-005	56.6	0	0	0	3
63	45	0	1.23945356	0.00132905281	0.00132477899	0.00130065007	0.00132992898	2.92789039e-005	2.04589612e-005	69.8	0	0	0	3
64	46	0	1.25912743	0.00132873429	0.00132585916	0.00130608779	0.00132992898	2.38411889e-005	2.04589612e-005	85.8	0	0	0	3
65	47	0	1.27880129	0.00132868166	0.00132672815	0.00131094885	0.00132992898	1.8980127e-005	2.04589612e-005	100	0	0	0	3
66	48	0	1.29847516	0.00132808421	0.0013273872	0.00131461219	0.00132992898	1.53167896e-005	2.04589612e-005	100	0	0	0	3
67	48	0	1.31814903	0.00132850613	0.00132792158	0.00131846498	0.00132992898	1.14640005e-005	2.04589612e-005	100	0	0	0	3
68	49	0	1.33782289	0.00132835859	0.00132830211	0.00132122828	0.00132992898	8.70069528e-006	2.04589612e-005	100	0	0	0	3
69	50	0	1.35749676	0.00132843823	0.00132857941	0.00132333641	0.00132992898	6.59256838e-006	2.04589612e-005	100	0	0	0	3
70	50	0	1.37717062	0.0013278871	0.00132875444	0.00132526134	0.00132992898	4.66763788e-006	2.04589612e-005	100	0	0	0	3
71	51	0	1.39684449	0.00132818036	0.00132886671	0.00132649257	0.00132992898	3.43641383e-006	2.04589612e-005	100	0	0	0	3
72	52	0	1.41651836	0.00132825153	0.00132893436	0.00132778917	0.00132992898	2.13980841e-006	2.04589612e-005	100	0	0	0	3
73	53	0	1.43619222	0.001328605	0.00132896574	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
74	53	0	1.45586609	0.00132829967	0.00132896187	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
75	54	0	1.47553995	0.00132880764	0.00132894742	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
76	55	0	1.49521382	0.00132875819	0.00132893792	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
77	55	0	1.51488769	0.00132895749	0.00132890803	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
78	56	0	1.53456155	0.00132838314	0.00132886398	0.0013278871	0.00132992898	2.04187915e-006	2.04589612e-005	100	0	0	0	3
79	57	0	1.55423542	0.0013286732	0.00132881568	0.0013278871	0.00132990821	2.02111098e-006	2.04589612e-005	100	0	0	0	3
80	57	0	1.57390928	0.00132851075	0.00132876398	0.0013278871	0.00132990821	2.02111098e-006	2.04589612e-005	100	0	0	0	3
81	58	0	1.59358315	0.00132903433	0.00132873037	0.0013278871	0.00132968871	1.80160773e-006	2.04589612e-005	100	0	0	0	3
82	59	0	1.61325702	0.00132823011	0.00132868344	0.0013278871	0.00132968871	1.80160773e-006	2.04589612e-005	100	0	0	0	3
83	59	0	1.63293088	0.00132851684	0.00132863837	0.0013278871	0.00132959594	1.7088359e-006	2.04589612e-005	100	0	0	0	3
84	60	0	1.65260475	0.00132808997	0.00132859756	0.0013278871	0.00132959594	1.7088359e-006	2.04589612e-005	100	0	0	0	3
